"Business Development (Sales)
                        Urban Company                    Guwahati","Guwahati                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             10000 /month                        12 Aug' 21"
"Marketing
                        Bharti Airtel Limited                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             50000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves","Starts immediatelyImmediately                        
                            6 Months                        
                             50000 /month                        12 Aug' 21"
"Business Development (Sales)
                        Decathlon Sport India Private Limited                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             10000 /month                        12 Aug' 21"
"Operations
                        Urban Company                    Hyderabad","Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-10000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves","Starts immediatelyImmediately                        
                            2 Months                        
                             8000-10000 /month                        12 Aug' 21"
"Business Development
                        Urban Company                    Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             8000 /month                        12 Aug' 21"
"Store Sports Consulting
                        Reliance Brands Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             15000 /month                        12 Aug' 21"
"Marketing
                        BYJU'S The Learning App                    Aurangabad","Aurangabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000-18000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             15000-18000 /month                        12 Aug' 21"
"Business Development (Sales)
                        Urban Company                    Dehradun","Dehradun                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             10000 /month                        12 Aug' 21"
"Operations
                        Urban Company                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             8000 /month                        12 Aug' 21"
"Operations
                        Edelweiss Financial Services                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             12000 /month                        12 Aug' 21"
"Business Development (Sales)
                        Decathlon Sport India Private Limited                    ChennaiCoimbatoreHosurKarurMaduraiDindigulBangalore","Chennai, Coimbatore, Hosur, Karur, Madurai, Dindigul, Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             10000 /month                        12 Aug' 21"
"Marketing
                        BYJU'S                    AmritsarJalandharLudhiana","Amritsar, Jalandhar, Ludhiana                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             18000 /month                        12 Aug' 21"
"Graphic Design
                        CRY - Child Rights And You                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By","Starts immediatelyImmediately                        
                            2 Months                        
                            Unpaid                        12 Aug' 21"
"Business Development (Sales)
                        Decathlon Sports India                    Pimpri-ChinchwadPuneWakad","Pimpri-Chinchwad, Pune, Wakad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             15000 /month                        12 Aug' 21Part time allowed"
"Social Media Marketing
                        Fashion TV                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2500 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             2500 /month                        12 Aug' 21"
"Graphic Design
                        Archies Lifestyle                    Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             10000 /month                        12 Aug' 21"
"Technical Management (OCR) Based On Machine Learning And Software Development
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1000-2000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             1000-2000 /month                        11 Aug' 21"
"Retail Management
                        Decathlon                    Raipur","Raipur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             6000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             6000 /month                        11 Aug' 21"
"Operations
                        Ola (ANI Technologies Private Limited)                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             15000 /month                        11 Aug' 21"
"Visual Design
                        Internshala                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves","Starts immediatelyImmediately                        
                            6 Months                        
                             20000 /month                        5 Aug' 21"
"Content Writing
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             2000 /month                        13 Aug' 21"
"Operations
                        Urban Company                    Hyderabad","Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves","Starts immediatelyImmediately                        
                            3 Months                        
                             10000 /month                        13 Aug' 21"
"UGC NET Content Development (Paper 2 History)
                        GradeStack Learning Private Limited                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1000-4000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             1000-4000 /month                        13 Aug' 21Part time allowed"
"UI/UX Design
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             2000 /month                        13 Aug' 21"
"Marketing
                        Colorbar                    Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             5000 /month                        13 Aug' 21"
"Marketing
                        BYJU'S                    Tiruppur","Tiruppur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By","Starts immediatelyImmediately                        
                            4 Months                        
                             18000 /month                        13 Aug' 21"
"Marketing
                        BYJU'S                    Coimbatore","Coimbatore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By","Starts immediatelyImmediately                        
                            5 Months                        
                             18000 /month                        13 Aug' 21"
"Human Resources (HR)
                        Axis Bank Limited                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-15000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             10000-15000 /month                        13 Aug' 21"
"Social Media Marketing
                        Times Internet                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             7000 /month                        13 Aug' 21"
"Research (NBA Content)
                        Sportskeeda                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-15000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             8000-15000 /month                        13 Aug' 21"
"Business Development (Sales)
                        Decathlon Sport India Private Limited                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             10000 /month                        13 Aug' 21"
"Chartered Accountancy (CA)
                        Comviva                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves","Starts immediatelyImmediately                        
                            12 Months                        
                             20000 /month                        13 Aug' 21"
"Content Writing
                        Sportskeeda                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-15000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             8000-15000 /month                        13 Aug' 21"
"Content Writing
                        Times Business Solutions                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1000-2000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             1000-2000 /month                        13 Aug' 21"
"Business Development (Sales)
                        ByteDance                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             22000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             22000 /month                        13 Aug' 21"
"Operations
                        The Energy And Resources Institute (TERI)                    Guwahati","Guwahati                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             5000 /month                        13 Aug' 21"
"Human Resources (HR)
                        Biocon Limited                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             7000 /month                        12 Aug' 21"
"Business Development (Sales)
                        BigBasket                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             8000 /month                        12 Aug' 21"
"Graphic Design
                        Fashion TV                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2500 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             2500 /month                        12 Aug' 21"
"Operations
                        Urban Company                    Vadodara","Vadodara                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-10000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             8000-10000 /month                        12 Aug' 21"
"Business Development (Sales)
                        Urban Company                    Guwahati","Guwahati                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             10000 /month                        12 Aug' 21"
"Marketing
                        Bharti Airtel Limited                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             50000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves","Starts immediatelyImmediately                        
                            6 Months                        
                             50000 /month                        12 Aug' 21"
"Business Development (Sales)
                        Decathlon Sport India Private Limited                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             10000 /month                        12 Aug' 21"
"Operations
                        Urban Company                    Hyderabad","Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-10000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves","Starts immediatelyImmediately                        
                            2 Months                        
                             8000-10000 /month                        12 Aug' 21"
"Business Development
                        Urban Company                    Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             8000 /month                        12 Aug' 21"
"Store Sports Consulting
                        Reliance Brands Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             15000 /month                        12 Aug' 21"
"Marketing
                        BYJU'S The Learning App                    Aurangabad","Aurangabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000-18000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             15000-18000 /month                        12 Aug' 21"
"Business Development (Sales)
                        Urban Company                    Dehradun","Dehradun                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             10000 /month                        12 Aug' 21"
"Operations
                        Urban Company                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             8000 /month                        12 Aug' 21"
"Operations
                        Edelweiss Financial Services                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             12000 /month                        12 Aug' 21"
"Business Development (Sales)
                        Decathlon Sport India Private Limited                    ChennaiCoimbatoreHosurKarurMaduraiDindigulBangalore","Chennai, Coimbatore, Hosur, Karur, Madurai, Dindigul, Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             10000 /month                        12 Aug' 21"
"Marketing
                        BYJU'S                    AmritsarJalandharLudhiana","Amritsar, Jalandhar, Ludhiana                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             18000 /month                        12 Aug' 21"
"Graphic Design
                        CRY - Child Rights And You                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By","Starts immediatelyImmediately                        
                            2 Months                        
                            Unpaid                        12 Aug' 21"
"Business Development (Sales)
                        Decathlon Sports India                    Pimpri-ChinchwadPuneWakad","Pimpri-Chinchwad, Pune, Wakad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             15000 /month                        12 Aug' 21Part time allowed"
"Social Media Marketing
                        Fashion TV                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2500 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             2500 /month                        12 Aug' 21"
"Graphic Design
                        Archies Lifestyle                    Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             10000 /month                        12 Aug' 21"
"Technical Management (OCR) Based On Machine Learning And Software Development
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1000-2000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             1000-2000 /month                        11 Aug' 21"
"Retail Management
                        Decathlon                    Raipur","Raipur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             6000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             6000 /month                        11 Aug' 21"
"Operations
                        Ola (ANI Technologies Private Limited)                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By","Starts immediatelyImmediately                        
                            6 Months                        
                             15000 /month                        11 Aug' 21"
"Editorial (Tamil)
                        Pocket FM                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-15000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             10000-15000 /month                        11 Aug' 21"
"Marketing
                        BYJU'S The Learning App                    AnantapurKadapaKurnoolTirupati","Anantapur, Kadapa, Kurnool, Tirupati                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By","Starts immediatelyImmediately                        
                            2 Months                        
                             20000 /month                        11 Aug' 21"
"Company Secretary (CS)
                        BookMyShow                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7500 /monthApply By","Starts immediatelyImmediately                        
                            12 Months                        
                             7500 /month                        11 Aug' 21"
"Project Management
                        V-Mart Retail Limited                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-15000 /monthApply By","Starts immediatelyImmediately                        
                            3 Months                        
                             10000-15000 /month                        11 Aug' 21"
